line,lag,vmax,t_vmax,finalOD
ATCC6538_Ancestor,2:13:41,3.12,3:30:09,0.896
ATCC6538_Ancestor,2:10:13,2.68,4:10:09,0.847
ATCC6538_Ancestor,2:20:09,2.95,4:30:09,0.868
ATCC6538_Ancestor,2:15:50,2.915,3:30:09,0.857
ATCC6538_Ancestor,2:18:33,2.865,4:30:09,0.873
CC398_Ancestor,2:20:15,3.11,3:30:09,0.933
CC398_Ancestor,2:34:17,3.805,3:50:09,0.922
CC398_Ancestor,2:30:48,3.015,4:30:09,0.915
CC398_Ancestor,2:33:31,3.35,4:10:09,0.921
CC398_Ancestor,2:57:00,4.165,4:30:09,0.93
CC398_WT,2:40:15,3.93,4:10:09,0.889
CC398_WT,2:48:03,4.205,4:30:09,0.893
CC398_WT,2:54:24,4.485,4:30:09,0.908
CC398_WT,2:43:13,3.79,4:30:09,0.898
CC398_WT,2:38:23,3.955,3:50:09,0.878
ATCC6538_WT,2:17:38,2.665,4:30:09,0.827
ATCC6538_WT,2:24:02,2.7,4:30:09,0.819
ATCC6538_WT,2:18:49,2.71,3:30:09,0.809
ATCC6538_WT,2:20:59,2.665,4:30:09,0.814
ATCC6538_WT,2:17:41,2.595,4:10:09,0.815
CC398_BAC_40,2:46:10,4.64,4:10:09,0.903
CC398_BAC_40,2:28:14,3.365,4:10:09,0.877
CC398_BAC_40,2:31:51,3.4,4:10:09,0.901
CC398_BAC_40,2:31:40,3.905,3:50:09,0.892
CC398_BAC_40,2:25:36,3.305,3:50:09,0.877
ATCC6538_BAC_17,2:14:47,2.605,4:50:09,0.826
ATCC6538_BAC_17,2:14:17,2.605,4:30:09,0.815
ATCC6538_BAC_17,2:12:24,2.48,4:30:09,0.796
ATCC6538_BAC_17,2:17:38,2.67,4:10:09,0.828
ATCC6538_BAC_17,2:19:14,2.84,4:30:09,0.86
CC398_BAC_21,2:18:05,3.045,3:30:09,0.907
CC398_BAC_21,2:19:55,3.045,3:50:09,0.899
CC398_BAC_21,2:31:44,3.42,4:30:09,0.913
CC398_BAC_21,2:24:32,3.195,4:10:09,0.89
CC398_BAC_21,2:25:34,3.265,4:10:09,0.932
CC398_BAC_22,2:38:43,3.355,4:10:09,0.912
CC398_BAC_22,2:54:39,4.06,4:50:09,0.918
CC398_BAC_22,2:23:31,2.76,4:30:09,0.922
CC398_BAC_22,2:32:24,3.29,4:10:09,0.902
CC398_BAC_22,2:36:20,3.59,4:30:09,0.953
SH1000_Ancestor,2:30:34,2.61,4:10:09,0.752
SH1000_Ancestor,2:34:11,2.685,3:50:09,0.704
SH1000_Ancestor,2:29:11,2.6,4:10:09,0.727
SH1000_Ancestor,2:30:34,2.475,4:30:09,0.7
SH1000_Ancestor,2:35:30,2.735,3:50:09,0.713
SH1000_WT,2:28:47,2.445,3:50:09,0.708
SH1000_WT,2:26:58,2.51,3:50:09,0.69
SH1000_WT,2:26:56,2.43,4:10:09,0.704
SH1000_WT,2:30:48,2.49,3:50:09,0.702
SH1000_WT,2:32:45,2.39,4:10:09,0.713
SH1000_PEX_4,3:30:09,1.51,5:30:09,0.65
SH1000_PEX_4,3:20:13,1.665,5:10:09,0.682
SH1000_PEX_4,3:23:37,1.73,5:10:09,0.686
SH1000_PEX_4,3:25:24,1.81,5:10:09,0.694
SH1000_PEX_4,3:28:28,1.805,5:30:09,0.69
SH1000_BAC_7,2:28:03,2.39,3:50:09,0.753
SH1000_BAC_7,2:29:00,2.51,4:10:09,0.776
SH1000_BAC_7,2:31:27,2.45,3:50:09,0.779
SH1000_PEX_32,3:24:52,1.63,5:10:09,0.669
SH1000_PEX_32,3:28:42,1.58,5:10:09,0.652
SH1000_PEX_32,3:32:10,1.615,5:30:09,0.666
SH1000_PEX_32,3:25:48,1.505,5:10:09,0.632
SH1000_PEX_32,3:23:16,1.505,5:30:09,0.69
SH1000_PEX_33,3:26:04,2.6,4:50:09,0.768
SH1000_PEX_33,3:25:52,2.625,5:10:09,0.773
SH1000_PEX_33,3:24:41,2.54,4:50:09,0.765
SH1000_PEX_33,3:28:53,2.555,4:50:09,0.734
SH1000_PEX_33,3:27:33,2.565,5:10:09,0.767
SH1000_BAC_35,3:03:18,2.415,4:30:09,0.745
SH1000_BAC_35,3:01:11,2.435,4:50:09,0.762
SH1000_BAC_35,3:02:06,2.465,5:10:09,0.774
SH1000_BAC_35,3:04:18,2.455,4:50:09,0.75
SH1000_BAC_35,3:08:59,2.625,4:30:09,0.791
SH1000_BAC_14,2:28:39,2.555,3:50:09,0.785
SH1000_BAC_14,2:29:56,2.485,3:50:09,0.773
SH1000_BAC_14,2:28:53,2.53,3:50:09,0.78
SH1000_BAC_14,2:27:24,2.455,3:50:09,0.768
SH1000_BAC_14,2:28:27,2.52,3:50:09,0.807
